segment_id,start_time_seconds,end_time_seconds,label
498ynMnZ6Lo_30000,0.0,10.0,/m/07yv9
498ynMnZ6Lo_30000,0.976,1.047,/t/dd00109
498ynMnZ6Lo_30000,1.134,1.205,/t/dd00109
498ynMnZ6Lo_30000,1.276,1.63,/m/05zppz
498ynMnZ6Lo_30000,2.331,2.48,/m/07qcpgn
498ynMnZ6Lo_30000,2.559,2.724,/m/07qcpgn
498ynMnZ6Lo_30000,4.331,4.441,/m/07qcpgn
498ynMnZ6Lo_30000,4.858,4.953,/m/07qcpgn
498ynMnZ6Lo_30000,5.118,5.165,/m/07qcpgn
498ynMnZ6Lo_30000,5.228,5.346,/m/07qcpgn
498ynMnZ6Lo_30000,5.559,5.937,/m/07rjzl8
498ynMnZ6Lo_30000,9.488,9.543,/m/07qcpgn
